iter	Logloss
168	0.4088964942
169	0.4086712789
170	0.4084747921
171	0.4078260688
172	0.407056031
173	0.4064669822
174	0.40617539
175	0.4060675337
176	0.4057779892
177	0.4055728936
178	0.4053397322
179	0.4051318218
180	0.4048613667
181	0.4046802204
182	0.4043807301
183	0.4041840162
184	0.4038869778
185	0.4036117202
186	0.4034352716
187	0.4031988256
188	0.4030418716
189	0.4028634266
190	0.402299795
191	0.4020205592
192	0.4016828954
193	0.4014956474
194	0.4013669812
195	0.4012742966
196	0.4010479829
197	0.4004126147
198	0.4002488204
199	0.4000651616
200	0.3999432765
201	0.3996766705
202	0.3995547616
203	0.3994193308
204	0.3992175101
205	0.3990294962
206	0.3988600056
207	0.398688135
208	0.3984832262
209	0.3982995813
210	0.3978394896
211	0.3975111287
212	0.3973284228
213	0.3970316353
214	0.3966978508
215	0.3962157192
216	0.3959747345
217	0.3954870624
218	0.3953065879
219	0.3950543567
220	0.3948181089
221	0.3944613963
222	0.3942950737
223	0.3941736856
224	0.3940369057
225	0.3939044923
226	0.3937083877
227	0.3936147125
228	0.3934858333
229	0.3933260097
230	0.3931717512
231	0.3930017058
232	0.3928339779
233	0.3926918915
234	0.3925977772
235	0.3924666172
236	0.3923210882
237	0.3921932503
238	0.3920170497
239	0.3918493387
240	0.3917245636
241	0.391474466
242	0.3913646062
243	0.3911132407
244	0.3909586335
245	0.3907418053
246	0.3905303257
247	0.390412433
248	0.3902945593
249	0.3901950086
250	0.3900571736
251	0.3900092944
252	0.3898783376
253	0.3897240793
254	0.3891763465
255	0.3889876695
256	0.3888076616
257	0.3885892348
258	0.3884654258
259	0.3883593396
260	0.3881615994
261	0.3879981442
262	0.3878692454
263	0.3877119244
264	0.3876060899
265	0.3870945774
266	0.386953516
267	0.3867673432
268	0.3866311352
269	0.3863339092
270	0.3861551267
271	0.3860316953
272	0.3859315534
273	0.3858323191
274	0.3855583429
275	0.3852243219
276	0.3851171281
277	0.3849454478
278	0.384829312
279	0.3844318633
280	0.3842786472
281	0.3841553121
282	0.3840353706
283	0.3839447113
284	0.3837833944
285	0.3835969874
286	0.3834314273
287	0.3832622065
288	0.3830937237
289	0.382959407
290	0.3827986348
291	0.3825582753
292	0.3824134088
293	0.3823009111
294	0.3821552689
295	0.382023373
296	0.3818810888
297	0.3817641643
298	0.3814422806
299	0.3813312544
300	0.381238067
301	0.3811406351
302	0.3810432714
303	0.3809289779
304	0.3808143467
305	0.3806895051
306	0.3805375521
307	0.3804174397
308	0.3803108413
309	0.3802015865
310	0.3801364445
311	0.3799259471
312	0.3798239607
313	0.3797228943
314	0.3796363061
315	0.3794672444
316	0.3794131338
317	0.3792365927
318	0.3791102927
319	0.3789890977
320	0.3788440489
321	0.3787673023
322	0.3786282328
323	0.3784441687
324	0.378308809
325	0.3781803871
326	0.378024479
327	0.3779715136
328	0.3776009533
329	0.3775175446
330	0.3773977919
331	0.3772817078
332	0.3771148084
333	0.3770140077
334	0.3768778365
335	0.3767620216
336	0.3766397822
337	0.3764928648
338	0.3762891118
339	0.3761215323
340	0.375819463
341	0.3757453612
342	0.3756488184
343	0.3755263022
344	0.3753714877
345	0.3752769316
346	0.3750651641
347	0.3749557576
348	0.3748595043
349	0.3746735653
350	0.374505108
351	0.3743837708
352	0.3742881309
353	0.3741201928
354	0.3739778806
355	0.3738165794
356	0.3736920477
357	0.3736094454
358	0.3735114393
359	0.3734300889
360	0.3732173073
361	0.3729942646
362	0.3728940255
363	0.3728165029
364	0.3727366988
365	0.3726349708
366	0.3725641493
367	0.3724186743
368	0.3722369785
369	0.3721412997
370	0.3720444872
371	0.3719541213
372	0.3717791312
373	0.3716437037
374	0.3715164859
375	0.3713468982
376	0.3712225736
377	0.3710530996
378	0.370914298
379	0.3707468781
380	0.3706603208
381	0.3705418378
382	0.3704352225
383	0.3702272528
384	0.3700649756
385	0.3699146525
386	0.3697629961
387	0.369637652
388	0.3695144854
389	0.3694496971
390	0.3693217219
391	0.3690865472
392	0.3689158232
393	0.368805147
394	0.3686343789
395	0.3685371564
396	0.3684256984
397	0.3682798538
398	0.368181492
399	0.3680231054
400	0.3678513193
401	0.3674526861
402	0.3673017605
403	0.3670973874
404	0.3670003523
405	0.3668531478
406	0.3667407015
407	0.3666276404
408	0.3664927536
409	0.3663259499
410	0.3662332585
411	0.3660505976
412	0.3659143645
413	0.3657805555
414	0.3656463309
415	0.3655489315
416	0.3653835514
417	0.3652606516
418	0.3649852907
419	0.3647533151
420	0.3643309583
421	0.3641672265
422	0.3640477101
423	0.3637236923
424	0.3636134464
425	0.3635089996
426	0.3633136594
427	0.3631726647
428	0.3630829517
429	0.3628955446
430	0.3627799593
431	0.36257184
432	0.3624613581
433	0.362328145
434	0.3622233054
435	0.3621114973
436	0.361964137
437	0.3618623405
438	0.3617281527
439	0.3613893877
440	0.3612844194
441	0.3611486065
442	0.3609934951
443	0.360831558
444	0.3606965727
445	0.3606358928
446	0.3604471745
447	0.3602816218
448	0.3601252508
449	0.3599072184
450	0.3597884599
451	0.3596425413
452	0.3593511337
453	0.3592328415
454	0.3591040233
455	0.3589085697
456	0.3587483623
457	0.3586176075
458	0.3584515351
459	0.3583429981
460	0.3581883079
461	0.3580437046
462	0.3579074047
463	0.3577339766
464	0.3575933004
465	0.3574653322
466	0.3572110834
467	0.3570600755
468	0.3569111959
469	0.3567182832
470	0.3565872767
471	0.3564585043
472	0.3562868265
473	0.3561293109
474	0.3559959832
475	0.3558832066
476	0.3557603498
477	0.3556061235
478	0.3554299085
479	0.3551367994
480	0.3549828254
481	0.354888224
482	0.3547504517
483	0.3546494459
484	0.3545421397
485	0.3544317432
486	0.3543537716
487	0.3542272852
488	0.3540789122
489	0.3539678007
490	0.3537979737
491	0.3537127513
492	0.3535986865
493	0.3534654695
494	0.3533397598
495	0.3532369019
496	0.3531139714
497	0.3529405599
498	0.3528299964
499	0.3526677336
500	0.3523927242
501	0.3522629623
502	0.3521818449
503	0.352014999
504	0.3517442897
505	0.3514390194
506	0.3512765962
507	0.3511910719
508	0.3510875504
509	0.3509705616
510	0.3508596602
511	0.3507494565
512	0.3504933864
513	0.3503979467
514	0.3502195382
515	0.3500030152
516	0.3497277438
517	0.349616244
518	0.3494162732
519	0.349303639
520	0.3491458708
521	0.3489298859
522	0.3488130061
523	0.3487169548
524	0.3485928154
525	0.3484480039
526	0.348296058
527	0.3482005254
528	0.3480771167
529	0.3479813545
530	0.3478445199
531	0.3476361779
532	0.3474315051
533	0.3471949191
534	0.3470116227
535	0.3468834491
536	0.3466674002
537	0.3465222009
538	0.3464203172
539	0.3462208481
540	0.3460733192
541	0.3458586824
542	0.3457437525
543	0.345581597
544	0.3454710615
545	0.3453802846
546	0.3453228922
547	0.3452415688
548	0.34512543
549	0.3450488832
550	0.3449009289
551	0.3448033711
552	0.3447037503
553	0.3446001257
554	0.3444372213
555	0.3443597996
556	0.3442334068
557	0.3440845171
558	0.3438791173
559	0.3437035346
560	0.3435357815
561	0.3433516543
562	0.3431951038
563	0.3431026638
564	0.3430225931
565	0.342806158
566	0.3426683389
567	0.3425319157
568	0.342417742
569	0.3422834222
570	0.3421134274
571	0.3419338429
572	0.3418266739
573	0.3417012388
574	0.3415896993
575	0.3414354698
576	0.3413368803
577	0.3411277289
578	0.3409631026
579	0.3408432194
580	0.3406696982
581	0.3404824022
582	0.3403976671
583	0.3402895869
584	0.3401316878
585	0.3399877265
586	0.3398590717
587	0.3397388527
588	0.3396530457
589	0.3395055734
590	0.3393319446
591	0.3392228547
592	0.3390867299
593	0.3389605084
594	0.3388399579
595	0.3387454908
596	0.3385980589
597	0.3385004674
598	0.3383520176
599	0.338169614
600	0.3380363216
601	0.3378901269
602	0.3377667591
603	0.3376005114
604	0.3374932521
605	0.3373273983
606	0.3372255903
607	0.3370527404
608	0.3369705207
609	0.3368306802
610	0.3366355587
611	0.3365091805
612	0.3363991075
613	0.3362867845
614	0.33611249
615	0.3359994164
616	0.3359019716
617	0.3357860191
618	0.3356955722
619	0.3355905999
620	0.3354724466
621	0.3353657676
622	0.3352304278
623	0.335138107
624	0.3350071148
625	0.3349108756
626	0.3347930208
627	0.3346442511
628	0.3344746612
629	0.3344051496
630	0.3342883443
631	0.3341524662
632	0.3340617531
633	0.3338932531
634	0.3337893579
635	0.3336790159
636	0.3335636845
637	0.3334764402
638	0.3333091968
639	0.3331731883
640	0.3330951699
641	0.3330000935
642	0.3329210107
643	0.3327845347
644	0.3326690672
645	0.3325025006
646	0.3324283555
647	0.3322920551
648	0.3322005583
649	0.3321285818
650	0.3319859385
651	0.3318566207
652	0.3317485118
653	0.3316640511
654	0.3315444213
655	0.3314531702
656	0.3313670231
657	0.3312552259
658	0.3311797591
659	0.3310473
660	0.3309263111
661	0.3308321913
662	0.3307097591
663	0.3306180233
664	0.3304520106
665	0.3302843708
666	0.3301522793
667	0.3300228809
668	0.3299134846
669	0.3298142677
670	0.329701639
671	0.3295666441
672	0.329431525
673	0.3293659858
674	0.3292872961
675	0.3291520753
676	0.3290983563
677	0.3290247895
678	0.3289102182
679	0.3287400939
680	0.3286333823
681	0.3284214898
682	0.3283329892
683	0.3282409498
684	0.3281132926
685	0.3279716455
686	0.3278371421
687	0.3277073411
688	0.3275980619
689	0.3274630891
690	0.3273651977
691	0.3272538306
692	0.3271482609
693	0.3270793872
694	0.3269875841
695	0.3268920646
696	0.3268131205
697	0.3267291005
698	0.3265999566
699	0.326423336
700	0.3263039062
701	0.3261667691
702	0.3260952137
703	0.3260046663
704	0.3258654705
705	0.3257831773
706	0.3256317671
707	0.3254580578
708	0.3253336371
709	0.3252212181
710	0.3251335116
711	0.3250047104
712	0.3248709037
713	0.3246260147
714	0.3244779424
715	0.3243480075
716	0.3241995829
717	0.3240177852
718	0.3239110621
719	0.3237361666
720	0.3236086116
721	0.3233773686
722	0.3232708785
723	0.3231516874
724	0.3230832519
725	0.3230065909
726	0.3228554599
727	0.322767533
728	0.3226244203
729	0.3224782674
730	0.3223001677
731	0.3221813391
732	0.3220991271
733	0.321990945
734	0.3219250475
735	0.3218076504
736	0.3216821456
737	0.3215904
738	0.3215312037
739	0.3214324159
740	0.3213460173
741	0.3210862546
742	0.3210052154
743	0.3208402371
744	0.3207785955
745	0.3206433557
746	0.320589209
747	0.3205163274
748	0.320377464
749	0.320269472
750	0.3202006305
751	0.320125638
752	0.3200545169
753	0.3199570121
754	0.3198364724
755	0.3197431538
756	0.319645848
757	0.319507239
758	0.3193613745
759	0.3193006203
760	0.3191775792
761	0.3190796442
762	0.3189645224
763	0.318883229
764	0.3187584981
765	0.3186632461
766	0.3185754521
767	0.3184179849
768	0.3183447722
769	0.3181765763
770	0.3180708937
771	0.3180112813
772	0.3179409595
773	0.3178058655
774	0.3177432513
775	0.3176188255
776	0.3175447895
777	0.3174006758
778	0.3172829753
779	0.3172131316
780	0.3171125851
781	0.3170322115
782	0.3168885896
783	0.3168258427
784	0.3166177944
785	0.3163888468
786	0.3162837554
787	0.3161569838
788	0.3160883143
789	0.3159928298
790	0.3159100497
791	0.3157787909
792	0.3157116326
793	0.3156252219
794	0.3155517694
795	0.3153521375
796	0.3151508939
797	0.3150582509
798	0.3149576794
799	0.3148679965
800	0.3147796409
801	0.314703961
802	0.3145363235
803	0.3144343722
804	0.3143382557
805	0.3141905815
806	0.314085
807	0.3139585258
808	0.3138469667
809	0.3137129318
810	0.3136406317
811	0.3135229803
812	0.3134458299
813	0.3133770877
814	0.3132513936
815	0.3131169252
816	0.3130007991
817	0.3128587684
818	0.3128215012
819	0.3126997393
820	0.3125616613
821	0.312460705
822	0.3124093808
823	0.3123305302
824	0.3121739951
825	0.312089345
826	0.3119619911
827	0.3118307529
828	0.3117013829
829	0.3115886158
830	0.3115025217
831	0.3114213177
832	0.3113657107
833	0.311251242
834	0.3110641132
835	0.310960388
836	0.3108737722
837	0.3107838831
838	0.3105038313
839	0.310413112
840	0.3102971355
841	0.3102233001
842	0.3101493059
843	0.3100965698
844	0.3100324456
845	0.3099068497
846	0.3098006408
847	0.3096917197
848	0.309628299
849	0.3095416718
850	0.3094001751
851	0.3092919945
852	0.3092080192
853	0.3090713428
854	0.3088936783
855	0.3088288491
856	0.308703599
857	0.3085360814
858	0.3084582188
859	0.3083785548
860	0.3083078753
861	0.3081824568
862	0.3079513691
863	0.3078337207
864	0.3077504469
865	0.3076690324
866	0.307599384
867	0.3074962838
868	0.3074074091
869	0.3073137098
870	0.3071488902
871	0.3070397874
872	0.3069089341
873	0.3068538389
874	0.3067807178
875	0.3066281355
876	0.306500951
877	0.3063568301
878	0.306270726
879	0.3062215025
880	0.3060661304
881	0.3059715609
882	0.3058609387
883	0.3057418731
884	0.3056399824
885	0.305560986
886	0.3054940819
887	0.3053947007
888	0.3053130302
889	0.3052250208
890	0.3051523253
891	0.3050769417
892	0.3050088389
893	0.3049664496
894	0.304699987
895	0.3045341822
896	0.3044842089
897	0.3043255334
898	0.3042567349
899	0.3040986427
900	0.3040226799
901	0.3039445985
902	0.30384288
903	0.3036850077
904	0.3036352809
905	0.3035227786
906	0.303435992
907	0.3033807813
908	0.3032661634
909	0.3031872954
910	0.3030716475
911	0.3029928922
912	0.3028656035
913	0.3027910755
914	0.30272404
915	0.302627892
916	0.3025620752
917	0.3024399856
918	0.3023969935
919	0.3023264127
920	0.3022429876
921	0.3022080543
922	0.3021099262
923	0.3020217158
924	0.3019263013
925	0.3018309006
926	0.3017382666
927	0.3016634132
928	0.3015480879
929	0.3014414595
930	0.3013647093
931	0.3012357498
932	0.3011625811
933	0.3010752782
934	0.3009891455
935	0.3009118604
936	0.3008606801
937	0.3007740064
938	0.3006778652
939	0.3006149578
940	0.3004788933
941	0.3003757806
942	0.30030536
943	0.3002455428
944	0.3001692425
945	0.3000831287
946	0.300013557
947	0.299888482
948	0.2998175606
949	0.2997028442
950	0.2996158077
951	0.2995331672
952	0.2994892553
953	0.2994085143
954	0.2993380899
955	0.2992572886
956	0.2991658891
957	0.2990551521
958	0.2990028171
959	0.298924618
960	0.2988256176
961	0.2987734476
962	0.2987039639
963	0.2986299296
964	0.298549071
965	0.2984347857
966	0.2983328001
967	0.2982132143
968	0.2981535822
969	0.2980617726
970	0.2979670726
971	0.2978149553
972	0.2976015122
973	0.2975476674
974	0.2974560207
975	0.297346465
976	0.2972343207
977	0.2971087762
978	0.2970482475
979	0.2969962348
980	0.2968812966
981	0.2967777314
982	0.2966690021
983	0.2966039198
984	0.2965300374
985	0.2964001132
986	0.2962667051
987	0.2962011959
988	0.2961141629
989	0.2960499635
990	0.2959382889
991	0.2958405608
992	0.2957686356
993	0.2956721824
994	0.2955724652
995	0.2955113663
996	0.2954637252
997	0.2954001544
998	0.2953046915
999	0.295214931
